geoName,cloud computing
Nepal,100
St. Helena,81
India,75
Zimbabwe,69
Ethiopia,63
Ghana,57
Sri Lanka,52
Cameroon,51
Kenya,50
Nigeria,43
Uganda,36
Pakistan,31
Singapore,30
Tunisia,27
South Africa,27
